code,count,percent,code_int,label,col_name,q_no,question_text,multi_group
1.0,1962,60.313556716876725,1,,v001_code,ID.format,The published format which was employed [coded],
2.0,1248,38.36458653550569,2,,v001_code,ID.format,The published format which was employed [coded],
3.0,42,1.291115893021826,3,,v001_code,ID.format,The published format which was employed [coded],
,1,0.03074085459575776,,,v001_code,ID.format,The published format which was employed [coded],
1.0,3252,99.96925914540424,1,,v002_code,ID.completed,Case completed in Snap Interviewer [coded],
,1,0.03074085459575776,,,v002_code,ID.completed,Case completed in Snap Interviewer [coded],
1.0,2266,69.65877651398709,1,,v003_code,ID.language,Language ~ ? ~ Idioma ~ Langue ~ LÃ­ngua [coded],
2.0,493,15.155241315708576,2,,v003_code,ID.language,Language ~ ? ~ Idioma ~ Langue ~ LÃ­ngua [coded],
3.0,243,7.470027666769136,3,,v003_code,ID.language,Language ~ ? ~ Idioma ~ Langue ~ LÃ­ngua [coded],
4.0,130,3.996311097448509,4,,v003_code,ID.language,Language ~ ? ~ Idioma ~ Langue ~ LÃ­ngua [coded],
5.0,120,3.6889025514909317,5,,v003_code,ID.language,Language ~ ? ~ Idioma ~ Langue ~ LÃ­ngua [coded],
,1,0.03074085459575776,,,v003_code,ID.language,Language ~ ? ~ Idioma ~ Langue ~ LÃ­ngua [coded],
1.0,2447,75.22287119581924,1,,v004_code,Q2,"Which, if any, of the following degrees are you currently studying for? [coded]",
2.0,756,23.240086074392867,2,,v004_code,Q2,"Which, if any, of the following degrees are you currently studying for? [coded]",
3.0,49,1.5063018751921304,3,,v004_code,Q2,"Which, if any, of the following degrees are you currently studying for? [coded]",
,1,0.03074085459575776,,,v004_code,Q2,"Which, if any, of the following degrees are you currently studying for? [coded]",
1.0,885,27.20565631724562,1,,v005_code,Q3,What will be the total duration of your graduate degree? [coded],
2.0,755,23.20934521979711,2,,v005_code,Q3,What will be the total duration of your graduate degree? [coded],
3.0,670,20.596372579157702,3,,v005_code,Q3,What will be the total duration of your graduate degree? [coded],
4.0,365,11.220411927451583,4,,v005_code,Q3,What will be the total duration of your graduate degree? [coded],
5.0,356,10.943744236089763,5,,v005_code,Q3,What will be the total duration of your graduate degree? [coded],
6.0,79,2.4285275130648634,6,,v005_code,Q3,What will be the total duration of your graduate degree? [coded],
7.0,72,2.2133415308945588,7,,v005_code,Q3,What will be the total duration of your graduate degree? [coded],
8.0,55,1.6907470027666769,8,,v005_code,Q3,What will be the total duration of your graduate degree? [coded],
9.0,15,0.46111281893636646,9,,v005_code,Q3,What will be the total duration of your graduate degree? [coded],
,1,0.03074085459575776,,,v005_code,Q3,What will be the total duration of your graduate degree? [coded],
1.0,665,20.442668306178913,1,,v006_code,Q4,How far into your graduate degree are you? [coded],
2.0,613,18.84414386719951,2,,v006_code,Q4,How far into your graduate degree are you? [coded],
3.0,565,17.368582846603136,3,,v006_code,Q4,How far into your graduate degree are you? [coded],
4.0,521,16.015985244389793,4,,v006_code,Q4,How far into your graduate degree are you? [coded],
5.0,435,13.372271749154626,5,,v006_code,Q4,How far into your graduate degree are you? [coded],
6.0,271,8.330771595450354,6,,v006_code,Q4,How far into your graduate degree are you? [coded],
7.0,103,3.166308023363049,7,,v006_code,Q4,How far into your graduate degree are you? [coded],
8.0,42,1.291115893021826,8,,v006_code,Q4,How far into your graduate degree are you? [coded],
9.0,37,1.1374116200430373,9,,v006_code,Q4,How far into your graduate degree are you? [coded],
,1,0.03074085459575776,,,v006_code,Q4,How far into your graduate degree are you? [coded],
1.0,2317,71.22656009837074,1,,v016_code,Q6,Are you studying in the country you grew up in? Â   [coded],
2.0,935,28.74269904703351,2,,v016_code,Q6,Are you studying in the country you grew up in? Â   [coded],
,1,0.03074085459575776,,,v016_code,Q6,Are you studying in the country you grew up in? Â   [coded],
1.0,1146,35.2290193667384,1,,v030_code,Q8,Where do you currently live? [coded],
2.0,917,28.18936366430987,2,,v030_code,Q8,Where do you currently live? [coded],
3.0,790,24.285275130648632,3,,v030_code,Q8,Where do you currently live? [coded],
4.0,173,5.3181678450660925,4,,v030_code,Q8,Where do you currently live? [coded],
5.0,121,3.7196434060866896,5,,v030_code,Q8,Where do you currently live? [coded],
6.0,105,3.2277897325545655,6,,v030_code,Q8,Where do you currently live? [coded],
,1,0.03074085459575776,,,v030_code,Q8,Where do you currently live? [coded],
,2463,75.71472486935137,,,v031_code,Q9,Which country/region in Asia? [coded],
1.0,442,13.587457731324932,1,,v031_code,Q9,Which country/region in Asia? [coded],
